matcode,title,ref,au,safstk,reorder,ar,desk,ordcst,eoq,lt,safty,auamt,spare,gr,nm,pstock,ind,nsaftystk,specno,matgroup,section,group_b,group_c,group_a,abc,reordqty,unitrate,dwgno
522071,S.E. CU WIRE  CLASS H                        ,DIA 1.60 MM                         ,KG,0,0,0,NULL,0,NULL,1.5,0.5,NULL,0,NULL,NULL,NULL,0,NULL,S22050 R0 ,Production          ,NULL,Copper                        ,Copper wire                   ,Copper                        ,A ,0,NULL,NULL
522101,S.E. RECT CU CL H                            ,4.5 X 1.0                           ,KG,0,0,0,NULL,1500,0,0,0,0,0,522 ,NULL,0,0,0,S22101 R0 ,Production          ,NULL,Copper                        ,Copper strip                  ,Copper                        ,X ,0,NULL,NULL
522102,S.E. RECT CU CL H                            ,4.5 X 2.24                          ,KG,0,0,0,NULL,1500,0,0,0,0,0,522 ,NULL,0,0,0,S22101 R0 ,Production          ,NULL,Copper                        ,Copper strip                  ,Copper                        ,X ,0,NULL,NULL
522103,S.E. RECT CU CL H                            ,5.6 X 1.12                          ,KG,0,0,0,NULL,1500,0,0,0,0,0,522 ,NULL,0,0,0,S22101 R0 ,Production          ,NULL,Copper                        ,Copper strip                  ,Copper                        ,X ,0,NULL,NULL
522104,S.E. RECT CU CL H                            ,6.3 X 1.4                           ,KG,0,0,0,NULL,1500,0,0,0,0,0,522 ,N,0,0,0,S22101 R0 ,Production          ,NULL,Copper                        ,Copper strip                  ,Copper                        ,X ,0,NULL,NULL
522258,RIDGE FOR CT                                 ,AD-11-2-663                         ,NO,66.667,200,800,NULL,1500,226,2,1,0,0,522 ,NULL,0,0,0,S25001 R0 ,Production          ,NULL,NULL,NULL,NULL,B ,150,NULL,NULL
522105,S.E. RECT CU CL H                            ,6.3 X 2.24                          ,KG,0,0,0,NULL,1500,0,0,0,0,0,522 ,NULL,0,0,0,S22101 R0 ,Production          ,NULL,Copper                        ,Copper strip                  ,Copper                        ,X ,0,NULL,NULL
522106,S.E. RECT CU CL H                            ,7.1 X 2.0                           ,KG,0,0,0,NULL,1500,0,0,0,0,0,522 ,NULL,0,0,0,S22101 R0 ,Production          ,NULL,Copper                        ,Copper strip                  ,Copper                        ,X ,0,NULL,NULL
522107,S.E. RECT CU CL H                            ,8.0 X 2.0                           ,KG,0,0,0,NULL,1500,0,0,0,0,0,522 ,S,0,0,0,S22101 R0 ,Production          ,NULL,Copper                        ,Copper strip                  ,Copper                        ,X ,0,NULL,NULL
522110,TINNED COPPER WIRE                           ,22 SWG                              ,KG,0,0,0,NULL,1500,0,0,0,0,0,522 ,NULL,0,0,0,S22110 R0 ,Production          ,NULL,Copper                        ,Copper strip                  ,Copper                        ,X ,0,NULL,NULL
522121,S.E.D.C RECT CU CL H                         ,4.5 X 1.0                           ,KG,32.5,81.25,390,NULL,1500,59,1.5,1,0,0,NULL,NULL,0,0,0,S22121 R0 ,Production          ,NULL,Copper                        ,Copper strip                  ,Copper                        ,B ,100,NULL,NULL
522122,S.E.D.C RECT CU CL H                         ,4.5 X 2.24                          ,KG,19.167,76.667,460,NULL,0,123,1.5,0.5,0,0,NULL,NULL,0,0,0,S22121 R0 ,Production          ,NULL,Copper                        ,Copper strip                  ,Copper                        ,B ,100,NULL,NULL
522123,S.E.D.C RECT CU CL H                         ,5.6 X 1.12                          ,KG,30,75,360,NULL,1500,57,1.5,1,0,0,NULL,NULL,0,0,0,S22121 R0 ,Production          ,NULL,Copper                        ,Copper strip                  ,Copper                        ,B ,100,NULL,NULL
522124,S.E.D.C RECT CU CL H                         ,6.3 X 1.4                           ,KG,0,0,0,NULL,1500,0,0,0,0,0,NULL,NULL,0,0,0,S22121 R0 ,Production          ,NULL,Copper                        ,Copper strip                  ,Copper                        ,X ,0,NULL,NULL
522125,S.E. D.C RECT CU CL H                        ,6.3 X 2.24                          ,KG,50,200,1200,NULL,1500,144,1.5,0.5,0,0,NULL,NULL,0,0,0,S22121 R0 ,Production          ,NULL,Copper                        ,Copper strip                  ,Copper                        ,A ,0,NULL,NULL
522126,S.E. D.C RECT CU CL H                        ,7.1 X 2.0                           ,KG,95.833,383.333,2300,NULL,1500,178,1.5,0.5,0,0,NULL,NULL,0,0,0,S22121 R0 ,Production          ,NULL,Copper                        ,Copper strip                  ,Copper                        ,A ,0,NULL,NULL
522127,S.E. D.C RECT CU CL H                        ,8.0 X 2.0                           ,KG,31.667,79.167,380,NULL,0,0,1.5,1,0,0,NULL,NULL,0,0,0,S22121 R0 ,Production          ,NULL,Copper                        ,Copper strip                  ,Copper                        ,A ,0,NULL,NULL
522150,FG COVERED CU. CL.H                          ,DIA 1.00 MM                         ,KG,3.167,6.333,19,NULL,0,24,2,2,0,0,522 ,NULL,0,0,0,S22151 R0 ,Production          ,NULL,Copper                        ,FG Covered Copper             ,Copper                        ,C ,30,0,NULL
522151,FG COVERED CU. CL.H                          ,DIA 1.12 MM                         ,KG,1,3,12,NULL,0,14,2,1,0,0,522 ,NULL,0,0,0,S22151 R0 ,Production          ,NULL,Copper                        ,FG Covered Copper             ,Copper                        ,C ,30,0,NULL
522152,FG COVERED CU. CL.H                          ,DIA 1.40 MM                         ,KG,3.25,5.417,13,NULL,0,0,2,3,0,0,522 ,NULL,0,0,0,S22151 R0 ,Production          ,NULL,Copper                        ,FG Braided Copper             ,Copper                        ,B ,20,500,NULL
522153,FG COVERED CU. CL.H                          ,DIA 1.50 MM                         ,KG,0,0,0,NULL,0,0,2,3,0,0,NULL,NULL,0,0,0,S22151 R0 ,Production          ,NULL,Copper                        ,FG Braided Copper             ,Copper                        ,X ,0,0,NULL
