matcode,title,ref,au,safstk,reorder,ar,desk,ordcst,eoq,lt,safty,auamt,spare,gr,nm,pstock,ind,nsaftystk,specno,matgroup,section,group_b,group_c,group_a,abc,reordqty,unitrate,dwgno
445108,ACCESSORIES-2015-45kva                       ,2015-45kva                          ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Fabrication              ,,,,,,,
445109,PAPER CUTTING KIT-2015-45kva                 ,2015-45kva                          ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Winding                  ,,,,,,,
445110,COIL FORMING-2015-45kva                      ,2015-45kva                          ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Winding                  ,,,,,,,
445111,WINDING-2015-45kva                           ,2015-45kva                          ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Winding                  ,,,,,,,
445112,END CONNECTION-2015-45kva                    ,2015-45kva                          ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Winding                  ,,,,,,,
445113,GUSSET KIT-2015-45kva                        ,2015-45kva                          ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Fabrication              ,,,,,,,
445114,FEET KIT-2015                                ,2015                                ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Fabrication              ,,,,,,,
445115,WELDING KIT-2015                             ,2015                                ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Fabrication              ,,,,,,,
445116,ACC WELD KIT-2015                            ,2015                                ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Fabrication              ,,,,,,,
445201,BALANCED ROTOR-2015-45kva                    ,2015-45kva                          ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Assembly                 ,,,,,,,
445202,ASSEMBLED ROTOR-2015                         ,2015                                ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Assembly                 ,,,,,,,
445203,DSD ASSEMBLY-2015                            ,2015                                ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Assembly                 ,,,,,,,
445204,WOUND ROTOR-2015-45kva                       ,2015-45kva                          ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Winding                  ,,,,,,,
445205,WOUND EX ARMATURE-2015                       ,2015                                ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Winding                  ,,,,,,,
445206,MACHINED SHAFT-2015-45kva                    ,2015-45kva                          ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Machine Shop             ,,,,,,,
445207,MACHINED FAN-2015                            ,2015                                ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Machine Shop             ,,,,,,,
445208,BALANCING DISC-2015                          ,2015                                ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Machine Shop             ,,,,,,,
445209,DSD RIVETTING-2015                           ,2015                                ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Fabrication              ,,,,,,,
445210,DSD ASSEMBLY KIT-2015                        ,2015                                ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Assembly                 ,,,,,,,
445211,ROTOR STACK-2015-45kva                       ,2015-45kva                          ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Fabrication              ,,,,,,,
445212,ROTOR WINDING-2015-45kva                     ,2015-45kva                          ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Winding                  ,,,,,,,
445213,END CONNECTION KIT-2015                      ,2015                                ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Winding                  ,,,,,,,
445214,EA STACK-2015                                ,2015                                ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Fabrication              ,,,,,,,
